2017;10;25;7;0;9.31;70.00;1013.20;0.00;0.00;0.00;0.00;100.00;0.00;70.00;100.00;0.00;0.00;26.08;333.79;34.65;336.10;9.98;64.36;23.76;0;0.0;
2017;10;25;8;0;9.62;68.00;1013.80;0.00;0.00;0.00;0.00;61.00;0.00;15.00;61.00;2.74;0.00;24.97;331.59;32.85;332.59;14.80;18.43;37.08;0;178.1;
2017;10;25;9;0;11.13;62.00;1014.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;85.44;26.67;338.63;32.91;340.18;18.78;57.53;29.88;0.114;636.63;
2017;10;25;10;0;13.62;55.00;1015.60;0.00;0.00;0.00;0.00;3.00;0.00;0.00;3.00;58.09;258.99;23.80;349.54;27.12;354.67;10.90;82.41;32.04;8.328;799.41;
2017;10;25;11;0;16.55;50.00;1015.60;0.00;0.00;0.00;0.00;100.00;82.00;100.00;45.00;0.00;404.06;10.11;4.09;11.37;10.95;13.80;82.50;27.72;8.646;870.84;
2017;10;25;12;0;13.68;70.00;1017.20;0.00;0.00;0.00;0.00;100.00;0.00;100.00;100.00;0.00;109.47;12.78;189.73;16.81;189.87;20.78;75.96;15.12;29.853;902.66;
2017;10;25;13;0;16.59;60.00;1017.10;0.00;0.00;0.00;0.00;100.00;0.00;5.00;100.00;0.00;408.51;2.90;240.26;2.60;236.31;20.73;20.32;18.00;40.084;910.37;
2017;10;25;14;0;17.90;55.00;1017.10;0.00;0.10;0.00;0.00;100.00;0.00;30.00;100.00;0.00;433.43;5.19;123.69;4.21;109.98;18.58;58.47;18.36;30.675;897.11;
2017;10;25;15;0;20.50;37.00;1016.50;0.00;0.00;0.00;0.00;100.00;0.00;0.00;100.00;0.00;414.74;11.17;110.77;11.92;115.02;8.77;109.18;14.76;12.653;857.32;
2017;10;25;16;0;19.42;41.00;1017.60;0.00;0.00;0.00;0.00;100.00;0.00;0.00;100.00;0.00;334.64;11.16;90.00;11.57;84.64;11.44;77.28;16.56;14.234;770.0;
2017;10;25;17;0;18.99;44.00;1018.10;0.00;0.00;0.00;0.00;100.00;0.00;0.00;100.00;0.00;139.73;8.89;111.37;9.66;116.57;7.92;90.00;18.00;18.9;562.2;
2017;10;25;18;0;18.54;45.00;1018.60;0.00;0.00;0.00;0.00;100.00;0.00;0.00;100.00;0.00;74.76;10.46;130.82;11.20;135.00;9.98;115.64;16.56;8.211;18.61;
2017;10;25;19;0;17.20;55.00;1019.10;0.00;0.00;0.00;0.00;100.00;0.00;0.00;100.00;0.00;11.57;17.78;121.76;24.70;120.68;23.59;105.95;24.48;0.511;0.0;
2017;10;25;20;0;15.38;66.00;1020.20;0.00;0.00;0.00;0.00;100.00;0.00;0.00;100.00;0.00;0.00;14.81;154.06;18.12;159.04;18.86;113.63;16.92;0;0.0;
2017;10;25;21;0;14.85;67.00;1021.90;0.00;0.00;0.00;0.00;100.00;0.00;0.00;100.00;0.00;0.00;9.09;146.31;10.59;144.69;12.98;93.18;9.00;0;0.0;
2017;10;25;22;0;14.93;68.00;1022.90;0.00;0.00;0.00;0.00;100.00;0.00;0.00;100.00;0.00;0.00;6.88;132.88;8.21;127.87;15.83;107.20;9.36;0;0.0;
2017;10;25;23;0;14.53;72.00;1023.50;0.00;0.00;0.00;0.00;100.00;0.00;0.00;100.00;0.00;0.00;4.20;149.04;4.90;143.97;10.83;105.42;10.08;0;0.0;
2017;10;26;0;0;14.14;76.00;1024.40;0.00;0.00;0.00;0.00;100.00;0.00;0.00;100.00;0.00;0.00;1.48;255.96;1.84;258.69;11.38;108.43;2.52;0;0.0;
2017;10;26;1;0;13.77;81.00;1025.10;0.10;0.00;0.00;0.00;100.00;0.00;0.00;100.00;0.00;0.00;7.90;316.85;10.74;320.44;9.01;92.29;10.08;0;0.0;
2017;10;26;2;0;13.28;74.00;1025.00;0.10;0.00;0.00;0.00;100.00;0.00;0.00;100.00;0.00;0.00;12.78;327.65;17.41;330.26;14.83;299.05;13.32;0;0.0;
2017;10;26;3;0;12.75;65.00;1026.10;0.10;0.00;0.00;0.00;100.00;0.00;0.00;100.00;0.00;0.00;12.41;343.14;16.39;351.16;14.15;352.69;18.72;0;0.0;
2017;10;26;4;0;12.01;64.00;1026.10;0.10;0.00;0.00;0.00;100.00;0.00;0.00;100.00;0.00;0.00;15.78;332.85;22.38;334.26;12.68;353.48;24.12;0;0.0;
2017;10;26;5;0;10.65;69.00;1026.40;0.00;0.00;0.00;0.00;100.00;0.00;0.00;100.00;0.00;0.00;16.92;330.71;28.34;334.41;11.30;350.84;22.32;0;0.0;
2017;10;26;6;0;10.40;68.00;1026.50;0.00;0.00;0.00;0.00;100.00;0.00;0.00;100.00;0.00;0.00;16.98;327.99;26.67;338.63;4.02;100.30;16.20;0;0.0;
2017;10;26;7;0;10.27;70.00;1026.50;0.00;0.00;0.00;0.00;100.00;0.00;0.00;100.00;0.00;0.00;17.50;323.37;27.06;334.80;9.93;136.47;15.84;0;0.0;
2017;10;26;8;0;10.02;72.00;1027.10;0.00;0.00;0.00;0.00;100.00;0.00;0.00;100.00;0.00;0.00;17.21;322.65;26.93;330.35;5.80;150.26;25.56;0;165.46;
2017;10;26;9;0;11.29;66.00;1027.50;0.00;0.00;0.00;0.00;100.00;0.00;0.00;100.00;0.00;58.74;18.28;327.88;25.01;329.74;0.80;153.43;25.92;9.72;632.69;
2017;10;26;10;0;13.12;59.00;1027.90;0.00;0.00;0.00;0.00;6.00;0.00;0.00;6.00;56.17;247.42;16.10;333.43;19.65;331.56;2.52;360.00;17.64;52.125;798.1;
2017;10;26;11;0;15.20;51.00;1027.80;0.00;0.00;0.00;0.00;3.00;0.00;0.00;3.00;58.09;403.17;12.56;332.70;14.34;331.50;7.99;7.77;13.32;58.177;870.39;
2017;10;26;12;0;16.79;49.00;1027.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;517.98;5.15;294.78;5.15;282.09;9.83;8.43;7.20;128.998;902.52;
2017;10;26;13;0;18.26;45.00;1026.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;584.73;2.41;243.43;3.60;233.13;7.59;354.56;3.96;128.307;910.27;
2017;10;26;14;0;19.51;41.00;1026.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;601.64;3.32;167.47;4.02;169.70;3.24;360.00;3.96;126.467;896.83;
2017;10;26;15;0;20.63;34.00;1024.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;566.04;4.02;169.70;4.74;171.25;0.72;270.00;4.68;125.568;856.52;
2017;10;26;16;0;20.74;34.00;1024.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;477.04;5.69;161.57;5.35;160.35;1.14;198.43;7.20;120.025;767.83;
2017;10;26;17;0;20.42;35.00;1023.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;345.32;5.15;155.22;4.51;151.39;1.02;45.00;8.28;99.059;555.62;
2017;10;26;18;0;19.48;38.00;1024.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;181.56;4.68;157.38;3.71;150.95;2.31;38.66;9.36;55.462;11.91;
2017;10;26;19;0;17.73;42.00;1023.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;41.37;25.81;4.68;180.00;3.98;185.19;4.90;342.90;10.08;1.683;0.0;
2017;10;26;20;0;16.99;44.00;1023.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.02;225.00;4.10;195.26;4.83;333.43;6.12;0;0.0;
2017;10;26;21;0;16.27;46.00;1024.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4.02;349.70;1.08;180.00;5.51;348.69;4.68;0;0.0;
2017;10;26;22;0;15.25;51.00;1024.30;0.00;0.00;0.00;0.00;2.70;9.00;0.00;0.00;0.00;0.00;6.99;348.11;3.26;353.66;6.73;344.48;2.52;0;0.0;
2017;10;26;23;0;14.75;52.00;1024.50;0.00;0.00;0.00;0.00;7.50;25.00;0.00;0.00;0.00;0.00;8.65;343.07;6.83;341.57;9.57;340.20;3.96;0;0.0;
2017;10;27;0;0;14.33;51.00;1024.50;0.00;0.00;0.00;0.00;7.80;26.00;6.00;0.00;0.00;0.00;9.45;342.26;9.66;333.43;11.38;341.57;5.04;0;0.0;
2017;10;27;1;0;13.76;52.00;1024.50;0.00;0.00;0.00;0.00;0.60;2.00;0.00;0.00;0.00;0.00;9.79;342.90;12.59;329.04;11.92;334.98;6.48;0;0.0;
2017;10;27;2;0;12.74;57.00;1023.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;10.74;346.43;14.65;332.18;12.90;329.86;9.36;0;0.0;
2017;10;27;3;0;11.56;59.00;1023.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;12.18;341.03;19.58;327.77;14.49;333.43;14.40;0;0.0;
2017;10;27;4;0;11.25;59.00;1022.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;14.58;339.78;24.54;337.57;15.65;336.97;16.92;0;0.0;
2017;10;27;5;0;10.68;60.00;1022.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;15.60;341.15;29.94;341.78;16.65;338.43;20.88;0;0.0;
2017;10;27;6;0;10.33;60.00;1021.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;15.84;338.68;29.14;342.01;16.31;337.96;21.96;0;0.0;
2017;10;27;7;0;10.01;60.00;1020.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;16.31;337.96;30.41;343.50;16.60;335.66;22.68;0;0.0;
2017;10;27;8;0;9.69;60.00;1021.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5.64;0.00;16.18;339.15;30.66;344.33;17.41;330.26;22.68;0;152.7;
2017;10;27;9;0;12.70;48.00;1020.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;76.54;15.63;331.07;27.90;342.73;17.67;326.63;18.72;11.67;628.62;
2017;10;27;10;0;16.71;37.00;1019.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;250.98;12.48;326.77;15.78;325.22;18.08;324.73;16.20;54.622;796.73;
2017;10;27;11;0;19.77;30.00;1018.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;404.06;8.29;325.62;10.69;327.38;17.71;322.43;14.04;119.717;869.9;
2017;10;27;12;0;22.16;26.00;1018.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;519.76;3.10;305.54;3.60;306.87;18.16;320.63;9.36;128.698;902.35;
2017;10;27;13;0;23.61;24.00;1016.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;586.51;4.90;162.90;5.86;169.38;16.87;320.19;9.72;130.189;910.15;
2017;10;27;14;0;24.22;23.00;1014.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;603.42;10.14;152.53;11.27;153.43;11.25;309.81;13.68;127.3;896.54;
2017;10;27;15;0;24.16;24.00;1014.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;566.93;7.90;136.85;6.11;135.00;4.80;282.99;12.96;126.238;855.7;
2017;10;27;16;0;24.54;23.00;1013.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;477.93;8.79;145.01;7.59;148.57;8.31;197.65;10.08;121.716;765.64;
2017;10;27;17;0;24.43;23.00;1012.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;344.43;9.29;144.46;8.79;145.01;11.53;178.21;12.24;99.891;548.95;
2017;10;27;18;0;22.80;27.00;1011.10;0.00;0.00;0.00;0.00;0.30;1.00;0.00;0.00;59.81;178.89;8.16;131.42;13.00;131.63;13.78;139.24;6.84;52.619;6.93;
2017;10;27;19;0;20.14;35.00;1010.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;40.08;29.37;9.11;99.09;16.10;116.57;6.79;122.01;8.64;1.823;0.0;
2017;10;27;20;0;18.76;37.00;1010.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;8.40;30.96;11.97;46.22;9.72;360.00;14.76;0;0.0;
2017;10;27;21;0;17.65;40.00;1009.90;0.00;0.00;0.00;0.00;4.00;4.00;4.00;0.00;0.00;0.00;8.65;357.61;8.21;15.26;16.75;331.78;13.68;0;0.0;
2017;10;27;22;0;15.15;55.00;1010.10;0.00;0.00;0.00;0.00;28.00;3.00;28.00;0.00;0.00;0.00;10.50;329.04;16.38;326.66;20.61;297.01;9.36;0;0.0;
2017;10;27;23;0;13.47;62.00;1010.50;0.00;0.00;0.00;0.00;27.00;8.00;27.00;0.00;0.00;0.00;13.38;336.19;21.42;335.16;16.65;291.57;9.36;0;0.0;
2017;10;28;0;0;13.27;62.00;1010.00;0.00;0.00;0.00;0.00;65.00;51.00;65.00;0.00;0.00;0.00;14.33;334.72;20.88;316.40;21.93;293.20;12.60;0;0.0;
2017;10;28;1;0;14.82;52.00;1009.60;0.00;0.00;0.00;0.00;100.00;100.00;100.00;0.00;0.00;0.00;13.10;339.08;20.30;322.93;31.08;295.38;12.60;0;0.0;
2017;10;28;2;0;13.98;54.00;1008.90;0.00;0.00;0.00;0.00;100.00;100.00;100.00;0.00;0.00;0.00;14.46;341.11;26.76;326.52;31.96;292.52;12.96;0;0.0;
2017;10;28;3;0;13.79;57.00;1008.90;0.00;0.00;0.00;0.00;100.00;100.00;100.00;0.00;0.00;0.00;16.39;340.77;28.98;333.43;31.62;292.77;15.48;0;0.0;
2017;10;28;4;0;13.63;57.00;1007.80;0.00;0.00;0.00;0.00;100.00;100.00;100.00;0.00;0.00;0.00;18.06;336.50;30.87;328.35;37.19;295.82;18.72;0;0.0;
2017;10;28;5;0;14.12;54.00;1007.60;0.00;0.00;0.00;0.00;100.00;100.00;100.00;0.00;0.00;0.00;19.01;335.38;30.60;331.93;40.95;302.43;19.44;0;0.0;
2017;10;28;6;0;11.75;61.00;1007.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;20.73;339.68;33.65;333.98;43.05;302.36;23.76;0;0.0;
2017;10;28;7;0;10.76;64.00;1007.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;19.93;339.93;30.74;346.45;43.19;309.93;31.32;0;0.0;
2017;10;28;8;0;11.04;60.00;1008.70;0.00;0.00;0.00;0.00;48.00;0.00;48.00;4.00;2.22;0.00;28.01;342.03;37.64;345.03;43.13;322.46;34.20;0;139.86;
2017;10;28;9;0;11.84;51.00;1009.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;73.87;36.44;330.40;45.50;329.58;63.36;330.38;47.16;0.203;624.41;
2017;10;28;10;0;13.17;45.00;1010.60;0.00;0.00;0.00;0.00;2.00;0.00;2.00;1.00;58.72;242.97;40.04;326.74;49.46;328.39;59.47;336.07;49.32;44.11;795.32;
2017;10;28;11;0;14.62;40.00;1010.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;387.15;39.34;325.44;46.03;326.81;63.39;336.93;37.80;16.083;869.39;
2017;10;28;12;0;16.52;34.00;1010.30;0.00;0.40;0.00;0.00;0.00;0.00;0.00;0.00;60.00;517.98;35.45;325.34;39.84;327.17;51.52;333.43;33.48;8.37;902.17;
2017;10;28;13;0;18.12;29.00;1010.10;0.00;0.20;0.00;0.00;0.00;0.00;0.00;0.00;60.00;586.51;32.42;330.02;35.58;332.92;45.09;334.46;30.60;13.869;910.02;
2017;10;28;14;0;19.02;25.00;1010.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;606.98;29.83;336.53;33.70;336.72;40.85;337.73;30.60;13.887;896.23;
2017;10;28;15;0;17.77;31.00;1009.20;0.00;0.90;0.00;0.00;0.00;0.00;0.00;0.00;60.00;415.63;25.81;337.01;28.69;336.33;35.26;333.96;28.80;30.819;854.86;
2017;10;28;16;0;18.03;31.00;1009.60;0.00;0.10;0.00;0.00;0.00;0.00;0.00;0.00;60.00;477.93;25.39;341.82;28.14;343.65;33.59;342.54;32.40;109.014;763.42;
2017;10;28;17;0;17.75;29.00;1009.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;345.32;26.30;340.82;31.19;341.15;39.07;343.40;33.12;79.377;542.18;
2017;10;28;18;0;16.53;29.00;1009.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;179.78;23.24;343.81;30.56;344.98;40.34;346.58;31.32;21.234;3.54;
2017;10;28;19;0;13.12;36.00;1009.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;38.81;23.14;16.45;336.80;29.71;340.91;42.88;344.91;24.48;1.381;0.0;
2017;10;28;20;0;10.76;43.00;1011.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;15.14;334.65;27.81;338.75;46.14;343.69;23.76;0;0.0;
2017;10;28;21;0;9.70;47.00;1012.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;16.75;331.78;30.46;331.01;45.66;342.57;29.88;0;0.0;
2017;10;28;22;0;9.40;49.00;1012.60;0.00;0.00;0.00;0.00;13.00;35.00;13.00;0.00;0.00;0.00;19.16;334.40;31.40;334.90;48.72;349.35;33.48;0;0.0;
2017;10;28;23;0;8.90;52.00;1013.20;0.00;0.00;0.00;0.00;6.00;16.00;6.00;0.00;0.00;0.00;18.08;324.73;30.68;328.92;46.36;346.07;33.12;0;0.0;
2017;10;29;0;0;8.43;54.00;1014.40;0.00;0.00;0.00;0.00;1.80;6.00;0.00;0.00;0.00;0.00;18.09;328.84;31.58;331.39;41.51;338.11;30.24;0;0.0;
2017;10;29;1;0;7.50;57.00;1014.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;16.61;330.10;31.07;333.14;37.70;331.48;26.28;0;0.0;
2017;10;29;2;0;6.74;59.00;1013.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;14.97;332.82;28.47;327.92;33.09;329.25;25.92;0;0.0;
2017;10;29;3;0;6.49;60.00;1014.80;0.00;0.00;0.00;0.00;0.30;1.00;0.00;0.00;0.00;0.00;16.12;336.30;30.76;327.43;31.85;325.59;26.28;0;0.0;
2017;10;29;4;0;5.87;65.00;1014.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;16.45;336.80;26.58;331.70;29.56;325.92;25.56;0;0.0;
2017;10;29;5;0;5.29;69.00;1014.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;16.92;336.16;28.40;329.53;29.24;322.00;25.56;0;0.0;
2017;10;29;6;0;5.08;69.00;1013.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;17.11;337.75;29.95;334.36;27.44;321.93;25.56;0;0.0;
2017;10;29;7;0;4.63;70.00;1013.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;17.32;339.30;29.28;339.11;22.93;317.54;23.40;0;0.0;
2017;10;29;8;0;4.14;70.00;1014.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.44;0.00;17.32;339.30;30.31;344.15;19.73;308.33;24.48;8.073;127.01;
2017;10;29;9;0;7.04;56.00;1013.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;71.20;17.58;337.11;24.63;344.74;16.12;299.43;18.36;56.145;620.07;
2017;10;29;10;0;10.91;43.00;1013.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;247.42;16.39;340.77;15.94;341.57;12.86;287.93;14.76;125.85;793.85;
2017;10;29;11;0;14.21;33.00;1012.60;0.00;0.00;0.00;0.00;0.60;2.00;0.00;0.00;59.62;406.73;12.92;347.13;12.37;351.63;15.26;289.29;15.12;123.374;868.85;
2017;10;29;12;0;16.26;28.00;1011.90;0.00;0.00;0.00;0.00;1.20;4.00;0.00;0.00;59.23;523.32;5.09;315.00;4.10;307.87;15.84;291.32;16.56;131.432;901.96;
2017;10;29;13;0;18.08;26.00;1011.00;0.00;0.00;0.00;0.00;3.60;12.00;0.00;0.00;57.70;586.51;5.69;288.43;5.09;278.13;21.25;296.13;17.28;129.023;909.87;
2017;10;29;14;0;21.10;18.00;1009.20;0.00;0.00;0.00;0.00;3.00;10.00;0.00;0.00;58.09;601.64;17.60;300.76;21.07;303.15;34.34;299.52;27.36;129.118;895.9;
2017;10;29;15;0;20.61;26.00;1007.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;558.03;5.12;309.29;4.61;308.66;19.51;299.88;21.24;125.697;854.01;
2017;10;29;16;0;22.63;19.00;1005.90;0.00;0.00;0.00;0.00;0.90;3.00;0.00;0.00;59.43;474.37;15.58;276.63;16.87;281.07;23.41;271.76;26.64;61.509;761.18;
2017;10;29;17;0;21.24;18.00;1005.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;344.43;19.65;278.43;19.92;276.23;28.24;281.02;31.32;11.862;535.34;
2017;10;29;18;0;18.94;23.00;1005.50;0.00;0.00;0.00;0.00;2.00;0.00;2.00;0.00;58.72;174.44;16.33;284.04;22.67;280.06;42.38;276.34;29.16;1.542;1.51;
2017;10;29;19;0;14.78;27.00;1005.40;0.00;0.00;0.00;0.00;0.90;3.00;0.00;0.00;37.19;24.03;14.62;308.00;21.90;297.41;52.56;276.69;30.96;0;0.0;
2017;10;29;20;0;13.53;29.00;1005.80;0.00;0.00;0.00;0.00;3.60;12.00;0.00;0.00;0.00;0.00;16.55;314.12;24.57;304.85;61.21;280.85;31.32;0;0.0;
2017;10;29;21;0;12.90;37.00;1005.80;0.00;0.00;0.00;0.00;1.80;6.00;0.00;0.00;0.00;0.00;19.86;316.47;27.10;309.61;62.21;282.03;28.44;0;0.0;
2017;10;29;22;0;12.43;46.00;1006.40;0.00;0.00;0.00;0.00;0.30;1.00;0.00;0.00;0.00;0.00;19.62;317.23;27.66;308.66;63.83;284.04;30.24;0;0.0;
2017;10;29;23;0;13.03;50.00;1006.10;0.00;0.00;0.00;0.00;1.50;5.00;0.00;0.00;0.00;0.00;18.60;312.65;26.37;304.99;59.20;283.36;28.08;0;0.0;
2017;10;30;0;0;13.94;50.00;1006.70;0.00;0.00;0.00;0.00;3.30;11.00;0.00;0.00;0.00;0.00;15.12;308.23;20.29;295.20;52.20;279.53;25.20;0;0.0;
2017;10;30;1;0;14.32;51.00;1006.80;0.00;0.00;0.00;0.00;3.60;12.00;0.00;0.00;0.00;0.00;13.51;311.76;20.33;292.93;53.13;275.05;26.64;0;0.0;
2017;10;30;2;0;14.90;53.00;1006.30;0.00;0.00;0.00;0.00;0.90;3.00;0.00;0.00;0.00;0.00;12.89;305.91;21.25;280.74;49.35;272.09;25.56;0;0.0;
2017;10;30;3;0;14.63;53.00;1007.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;11.11;294.90;20.52;270.00;50.46;277.38;24.12;0;0.0;
2017;10;30;4;0;14.25;55.00;1006.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;9.50;307.30;13.68;270.00;47.76;283.51;21.60;0;0.0;
2017;10;30;5;0;13.75;56.00;1007.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;11.89;324.87;16.06;289.65;47.83;289.80;23.40;0;0.0;
2017;10;30;6;0;12.65;61.00;1007.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;14.01;334.09;19.97;303.98;47.40;290.91;24.12;0;0.0;
2017;10;30;7;0;10.62;72.00;1008.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;15.65;336.97;22.55;308.52;45.08;296.57;26.28;0;0.0;
2017;10;30;8;0;9.41;74.00;1009.80;0.00;0.00;0.00;0.00;0.30;1.00;0.00;0.00;2.32;0.00;16.98;355.14;31.10;339.68;37.55;304.45;23.76;0.538;114.2;
2017;10;30;9;0;11.28;67.00;1011.50;0.00;0.00;0.00;0.00;3.90;13.00;0.00;0.00;57.51;75.65;15.12;360.00;19.00;9.82;31.07;296.86;30.60;12.026;615.59;
2017;10;30;10;0;14.22;39.00;1012.90;0.00;0.00;0.00;0.00;4.80;16.00;0.00;0.00;56.94;251.87;17.56;15.46;18.46;20.56;19.26;290.81;16.92;48.089;792.32;
2017;10;30;11;0;15.93;34.00;1013.20;0.00;0.00;0.00;0.00;5.10;17.00;0.00;0.00;56.74;402.28;14.58;20.22;16.06;19.65;11.97;276.91;30.24;43.695;868.27;
2017;10;30;12;0;16.99;33.00;1013.30;0.00;0.00;0.00;0.00;9.60;32.00;0.00;0.00;53.87;516.20;12.52;18.43;14.46;18.89;6.38;343.61;27.36;64.516;901.73;
2017;10;30;13;0;17.66;34.00;1013.30;0.00;0.00;0.00;0.00;8.70;29.00;0.00;0.00;54.45;580.28;7.07;14.74;7.86;15.95;5.41;3.81;23.76;75.726;909.7;
2017;10;30;14;0;18.30;33.00;1013.20;0.00;0.00;0.00;0.00;9.90;33.00;0.00;0.00;53.68;595.41;1.84;11.31;2.10;30.96;2.88;360.00;22.68;73.242;895.57;
2017;10;30;15;0;18.54;35.00;1013.50;0.00;0.00;0.00;0.00;8.40;28.00;0.00;0.00;54.64;550.02;2.88;90.00;3.24;90.00;3.71;60.95;10.08;87.543;853.15;
2017;10;30;16;0;18.66;35.00;1013.90;0.00;0.00;0.00;0.00;6.60;22.00;0.00;0.00;55.79;465.47;4.84;138.01;5.35;137.73;4.02;116.57;10.08;23.031;758.93;
2017;10;30;17;0;18.27;37.00;1014.10;0.00;0.00;0.00;0.00;12.00;22.00;0.00;12.00;52.34;338.20;6.29;156.37;6.62;157.62;6.29;156.37;22.68;10.772;528.43;
2017;10;30;18;0;17.63;39.00;1014.30;0.00;0.00;0.00;0.00;100.00;11.00;0.00;100.00;0.00;130.83;6.79;147.99;6.92;152.10;6.73;164.48;22.68;2.004;0.5;
2017;10;30;19;0;16.86;41.00;1013.90;0.00;0.00;0.00;0.00;100.00;9.00;0.00;100.00;0.00;7.12;5.99;147.26;10.00;149.74;7.17;162.47;20.52;0;0.0;
2017;10;30;20;0;16.49;42.00;1014.80;0.00;0.00;0.00;0.00;100.00;5.00;0.00;100.00;0.00;0.00;7.93;129.47;14.29;130.91;7.52;163.30;13.32;0;0.0;
2017;10;30;21;0;15.74;41.00;1016.10;0.00;0.00;0.00;0.00;100.00;0.00;0.00;100.00;0.00;0.00;11.59;126.16;16.64;128.85;8.65;163.07;12.24;0;0.0;
2017;10;30;22;0;14.72;44.00;1017.30;0.00;0.00;0.00;0.00;100.00;6.00;0.00;100.00;0.00;0.00;13.44;110.38;19.69;108.10;8.29;182.49;11.88;0;0.0;
2017;10;30;23;0;13.92;51.00;1018.10;0.00;0.00;0.00;0.00;100.00;5.00;0.00;100.00;0.00;0.00;11.68;123.69;17.91;120.17;10.59;170.22;16.56;0;0.0;
2017;10;31;0;0;13.72;52.00;1019.20;0.00;0.00;0.00;0.00;100.00;6.00;0.00;100.00;0.00;0.00;10.59;125.31;17.24;118.71;15.19;148.57;15.84;0;0.0;
2017;10;31;1;0;13.36;55.00;1019.70;0.00;0.00;0.00;0.00;100.00;18.00;0.00;100.00;0.00;0.00;10.23;129.29;15.78;124.78;18.72;142.03;17.28;0;0.0;
2017;10;31;2;0;13.04;56.00;1019.90;0.00;0.00;0.00;0.00;100.00;23.00;0.00;100.00;0.00;0.00;8.44;140.19;13.49;136.08;20.66;131.47;15.48;0;0.0;
